Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
02-09-13,28,42,8.3,4.5,209,28.1
03-09-13,27,39,8.42,4.1,206,28.5
05-09-13,27,38,8.21,4.7,217,28.9
06-09-13,27,35,8.45,4.2,209,29.4
07-09-13,27,32,8.2,4.5,207,30.2
09-09-13,27,22,8.14,4.1,208,32.9
11-09-13,27,40,8.35,3.9,220,28.3
16-09-13,25.3,48,8.14,2.7,220,26.5
18-09-13,25,41.2,8.4,2.6,206,27.5
19-09-13,25,38,8.38,2.3,208,27.8
21-09-13,26,30,8.23,3.9,223,30.5
23-09-13,25,25,8.78,3.7,213,31.6
24-09-13,25.3,26.16,8.49,3.4,215,31.2
25-09-13,25,23,8.23,3.8,197,32.4
26-09-13,26,20,8.21,3.2,221,32.9
30-09-13,26,21,8.24,2.7,209,32.2
03-10-13,26,9.2,8.85,2.3,275,35.6
05-10-13,26,15,8.35,2.7,199,34.1
06-10-13,26,10,8.1,3.1,210,36.5
07-10-13,26,12,8.41,2.7,198,35.2
08-10-13,26,15,8.14,2.2,218,33.4
11-10-13,28,15,8.23,2.5,202,33.9
14-10-13,28,18.2,8.2,3.5,229,33.8
16-10-13,21,11,8.16,2.4,175,35.2
17-10-13,22,11.2,8.2,2.4,170,35.1
18-10-13,21,9.2,8.24,2.3,200,35.7
20-10-13,20,17,8.11,2.6,201,33.4
21-10-13,23,14,8.25,1.7,199,32.7
22-10-13,23.1,16,8.13,1.6,218,31.8
23-10-13,18,12,8.16,2.4,205,34.9
27-10-13,21,19,8.41,2.1,230,31.9
28-10-13,21,21,8.23,2.8,204,32.3
29-10-13,22,15.5,7.78,2.8,200,52.5
01-11-13,21,27,8.2,2.1,213,29.9
02-11-13,20,31,8.48,2.9,230,29.7
28-11-13,16.5,29,8.34,6.6,307,48.4
29-11-13,15.8,30,8.29,4.5,195,30.7
30-11-13,16,27,8.12,3.8,196,31.2
01-12-13,16,29,8.16,3.9,192,30.7
03-12-13,15,33,8.15,5.8,197,47
05-12-13,15,28,8.18,5.7,203,48.8
06-12-13,15,34,8.5,5.3,215,46.7
07-12-13,15,31,8.21,5.8,186,47.7
08-12-13,15,32,8.23,2.6,180,29.3
10-12-13,14.8,33,8.4,5.8,195,47
11-12-13,14.8,38,8.15,5.3,209,45.6
13-12-13,13.9,32,8.42,5.8,191,47.3
15-12-13,13,32,8.22,4.2,170,30.1
16-12-13,14,32,8.3,4.9,190,30.3
20-12-13,12.9,23,8.27,4.8,170,32.8
21-12-13,12.7,21,8.18,4.3,184,33.3
23-12-13,13,25,8.21,4.5,309,32.1
24-12-13,13,28,8.3,4.1,215,31.1
25-12-13,13,26,8.18,3.8,209,31.5
28-12-13,11,23,8.4,4.5,218,32.7
29-12-13,11,19.7,8.05,3.8,185,33.5
