Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
01-01-14,10,26,8.42,4.5,280,31.8
02-01-14,10,26,8.23,4.8,192,31.9
03-01-14,10,28,8.45,4.3,228,31.1
05-01-14,9,24,8.14,4.3,130,32.3
06-01-14,10,21,8.07,3.8,169,33.1
08-01-14,10,23,8.27,3.9,164,32.4
09-01-14,10,25,8.4,4.2,180,31.9
10-01-14,10,21,8.1,3.8,194,33
11-01-14,10,27,8.29,3.8,209,31.2
12-01-14,11,23,8.41,2.6,205,31.5
13-01-14,10,21,8.38,2.6,210,32
14-01-14,11,20,8.4,2.8,206,32.6
15-01-14,11,23.7,8.2,3.3,167,31.9
16-01-14,11,18,8.41,3.5,193,33.8
17-01-14,11,19,8.21,3.7,213,33.6
18-01-14,11,22,8.41,3.6,171,32.5
19-01-14,13,20,8.5,3.1,178,32.8
20-01-14,11,18.2,8.3,3.5,193,33.8
21-01-14,11,12,8.41,3.3,209,35.9
22-01-14,12.5,15,8.9,3.8,170,35
23-01-14,12,7,8.02,2.6,165,37.1
24-01-14,11,15,8.4,2.8,199,34.2
25-01-14,11,13,8.31,3.3,173,35.5
26-01-14,12.3,8.12,8.12,2.6,180,36.7
27-01-14,11,13,8.35,2.7,172,34.9
28-01-14,21,11,8.09,3.4,159,36.4
29-01-14,21,12,8.4,3.5,198,36
31-01-14,21,17,8.42,3.4,178,34.1
01-02-14,16,14,8.35,3.6,183,35.4
02-02-14,16,12.8,8.28,2.8,180,35.1
03-02-14,13,19.35,8.54,3.4,176,33.2
04-02-14,13,13,8.15,3.7,195,35.9
05-02-14,12.2,9.2,8.2,2.8,200,36.5
06-02-14,13,14,8.48,3.7,181,35.4
07-02-14,13,18,8.44,3.6,198,33.9
08-02-14,14,16,8.26,3.3,184,34.4
09-02-14,12,12,8.7,2.8,170,35.3
10-02-14,12,17,8.32,3.3,196,34
11-02-14,13,15,8.52,3.6,191,34.9
12-02-14,13,14,8.34,3.5,178,35.3
13-02-14,13,19,8.51,3.7,197,33.6
14-02-14,13,18,8.23,3.5,173,33.8
15-02-14,13,14.28,8.42,3.6,179,35.2
16-02-14,13,18,8.9,3.5,197,33.7
17-02-14,13,15.9,8.29,3.7,181,34.7
18-02-14,13,20,8.44,3.8,199,33.3
19-02-14,13,17,8.35,3.7,192,34.3
20-02-14,13,13.8,8.7,3.6,205,35.4
21-02-14,14,20,8.42,3.5,194,33.1
22-02-14,14,17.9,8.22,3.2,164,33.7
23-02-14,14,21,8.26,3.9,167,33.1
24-02-14,15,20,8.43,3.7,185,33.3
25-02-14,16,19.2,8.29,3.6,198,33.5
26-02-14,14,17,8.4,3.8,180,34.4
27-02-14,14,21,8.38,3.5,180,32.8
28-02-14,15,19,8.22,3.7,199,33.6
01-03-14,14,22,8.5,3.8,209,32.6
02-03-14,15,19,8.26,3.4,197,33.4
03-03-14,15,20,8.34,3.8,181,33.3
04-03-14,15,18,8.4,3.6,170,33.9
05-03-14,18,18.16,8.38,2.8,165,33.2
06-03-14,20,16,8.4,3.1,172,34.2
07-03-14,20.2,15,8.32,3.1,182,34.6
