Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
31-01-16,11,22,7.64,3.6,304,50.4
01-02-16,11,24,7.19,3.8,335,49.8
02-02-16,11,28,7.1,3.6,347,48.1
03-02-16,11,24,7.38,3.3,374,49.4
04-02-16,11,21,7.23,3.6,349,50.9
05-02-16,11,27,7.24,2.4,317,47.3
06-02-16,11,29,7.44,2.6,335,46.9
07-02-16,11,26,7.54,2.5,339,47.7
08-02-16,11,23,7.78,2.2,309,48.3
09-02-16,11,20,7.23,2.5,324,50
10-02-16,11,24,7.23,3.4,306,49.4
11-02-16,11,27,7.45,3.6,324,48.5
12-02-16,12,29,7.48,3.2,387,47.5
13-02-16,12,22,7.24,3.5,319,50.4
14-02-16,12,25,7.48,3.4,324,49.1
15-02-16,12,27.19,7.25,3.6,349,48.4
16-02-16,12,30,7.39,3.8,310,47.5
17-02-16,13.2,28,7.18,3.5,324,48
18-02-16,13,25,7.49,3.7,345,49.3
19-02-16,13,28,7.2,3.5,354,48
20-02-16,13,26,7.49,2.7,364,48
21-02-16,13,29,7.48,2.8,380,47.1
22-02-16,13,25,7.25,2.6,342,48.2
23-02-16,15,21,7.32,2.7,319,49.9
24-02-16,15,23,7.19,3.4,349,49.9
25-02-16,16,25,7.48,3.6,363,49.2
26-02-16,17,26,7.25,3.8,373,49
27-02-16,17,28,7.29,3.6,342,48.1
28-02-16,11,20.16,7.21,2.4,335,49.8
29-02-16,14,19,7.48,2.7,297,69.9
01-03-16,14,21,7.42,3.6,314,50.9
02-03-16,14,16,7.67,3.3,295,53
03-03-16,15,18,7.54,3.6,324,52.3
04-03-16,15,20,7.24,3.5,347,51.2
05-03-16,15,14,7.6,3.2,382,53.9
06-03-16,15,16,7.29,3.6,422,53.3
07-03-16,15,19,7.48,3.4,399,51.6
08-03-16,15,16,7.18,3.8,382,53.5
09-03-16,15,18,7.37,3.3,359,52
10-03-16,15,14,7.31,3.1,350,53.8
11-03-16,12,26,7.48,2.7,273,48
12-03-16,15,16,7.49,3.3,358,53
13-03-16,15,19,7.54,3.6,371,51.8
14-03-16,15,22,7.53,3.4,382,50.3
15-03-16,12,26,7.48,2.7,273,48
16-03-16,15,20,7.41,3.3,367,51.1
17-03-16,15,22,7.19,3.6,383,50.4
18-03-16,15,21,7.34,3.3,358,50.6
19-03-16,15,23,7.21,3.6,374,50
20-03-16,15,25,7.53,3.5,392,49.1
21-03-16,15,23,7.49,3.2,347,49.7
22-03-16,15,25,7.23,3.6,318,49.2
23-03-16,15,21,7.39,3.7,335,51
24-03-16,15,26,7.99,3.3,382,48.6
25-03-16,15,23,7.84,3.6,358,50
26-03-16,15,18,7.37,2.4,356,50.7
