Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
01-01-19,18,13,7.23,5.4,249,73.8
02-01-19,17,14,7.45,5.2,231,72.8
03-01-19,16,15,7.19,5.6,270,71.9
04-01-19,14,11,7.32,5.3,219,75.6
05-01-19,14,13,7.42,5.4,230,73.8
06-01-19,14,12,7.23,5.5,220,74.7
07-01-19,13,14,7.42,5.3,230,72.8
08-01-19,13,12,7.23,5.7,210,74.7
09-01-19,13,15,7.38,5.4,231,71.9
10-01-19,14,13,7.22,5.5,216,73.8
11-01-19,13,12,7.49,5.2,241,74.7
12-01-19,14,15,7.19,5.5,210,71.9
13-01-19,13,12,7.39,5.3,225,74.7
14-01-19,14,15,7.49,5.7,230,71.9
15-01-19,13,12,7.25,6.1,217,74.7
16-01-19,14,15,7.79,6.4,235,71.9
17-01-19,13,12,7.79,6.1,212,74.7
18-01-19,13,10,7.33,6.2,225,76.5
19-01-19,12,11,7.19,6.3,235,75.6
20-01-19,9,13,7.21,5.4,287,73.8
21-01-19,9,11,6.9,5.6,312,75.6
22-01-19,13,10,7.15,5.8,216,76.5
23-01-19,13,14,7.31,5.9,245,72.8
24-01-19,12,39,7.45,5.7,224,58.3
25-01-19,12,14,7.22,5.8,235,72.8
26-01-19,13,12,7.38,5.6,227,74.7
27-01-19,13,10,7.51,5.8,241,76.5
28-01-19,12,14,7.18,5.9,225,72.8
29-01-19,12,16,7.51,5.8,240,71.1
30-01-19,12,13,7.9,5.9,270,73.8
31-01-19,12,15,7.51,5.6,230,71.9
01-02-19,12,12,7.15,5.9,234,74.7
02-02-19,13,15,7.18,5.8,272,71.9
03-02-19,12,12,7.31,5.9,240,74.7
04-02-19,13,16,7.29,5.8,260,71.1
05-02-19,13,12,7.45,5.9,241,74.7
06-02-19,12,15,7.39,5.8,214,71.9
07-02-19,12,11,7.14,5.7,251,75.6
08-02-19,12,14,7.45,5.9,199,72.8
09-02-19,13,18,7.29,5.6,220,69.4
10-02-19,12,14,7.45,5.8,214,72.8
11-02-19,12,14,7.39,5.9,195,72.8
12-02-19,12,17,7.59,5.8,220,70.2
13-02-19,13,12,7.63,5.7,224,74.7
16-02-19,13,14,7.41,5.9,210,72.8
17-02-19,14,18,7.59,5.8,230,69.4
18-02-19,14,12,7.48,5.9,209,74.7
19-02-19,12,15,7.39,5.8,230,71.9
20-02-19,13,12,7.42,5.9,210,74.7
21-02-19,13,10,7.38,6.2,218,76.5
22-02-19,13,15,7.15,5.9,230,71.9
23-02-19,14,12,7.51,5.7,197,74.7
24-02-19,14,15,7.15,5.9,230,71.9
25-02-19,12,12,7.69,5.8,241,74.7
26-02-19,14,10,7.45,5.9,216,76.5
27-02-19,13,12,7.15,5.8,240,74.7
28-02-19,13,11,7.1,5.6,225,75.6
01-03-19,12,13,7.45,5.9,199,73.8
02-03-19,12,10,7.19,5.8,210,76.5
03-03-19,12,14,7.45,5.9,224,72.8
04-03-19,13,10,7.19,5.8,235,76.5
05-03-19,12,13,7.45,5.9,211,73.8
06-03-19,12,6,7.4,5.7,220,79.4
07-03-19,12,8,7.15,5.9,210,78.2
08-03-19,14,9,7.8,5.8,230,77.4
