Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
11-05-20,24,27,7.45,5.8,285,63.5
12-05-20,24,22,7.45,5.9,295,66.5
13-05-20,25,20,7.45,5.7,249,67.9
14-05-20,25,24,7.69,5.9,390,65.2
15-05-20,24,20,7.45,5.7,320,67.9
16-05-20,25,23,7.66,5.9,299,65.9
17-05-20,24,26,7.49,5.7,260,64.1
18-05-20,24,22,7.4,5.5,250,66.5
19-05-20,24,20,7.3,5.9,280,67.9
20-05-20,24,16,7.1,5.5,270,71.1
21-05-20,24,18,7.16,5.9,275,69.4
22-05-20,24,16,7.1,5.8,290,71.1
23-05-20,24,12,7.9,6,295,74.7
24-05-20,23,10,7.1,5.8,293,76.5
25-05-20,23,12,7.12,6,315,74.7
26-05-20,23,14,7.18,6.1,320,72.8
27-05-20,23,11,7.2,5.9,323,75.6
28-05-20,23,8,7.16,5.8,325,78.2
29-05-20,23,10,7.22,5.6,316,76.5
30-05-20,20,15,7.19,5.8,334,71.9
31-05-20,21,18,7.39,5.9,290,69.4
01-06-20,20,16,7.52,5.7,249,71.1
02-06-20,25,19,7.45,5.9,225,68.7
03-06-20,24,33,7.29,5.8,230,60.6
04-06-20,25,40,7.29,5.7,260,58
05-06-20,24,36,7.25,5.6,285,59.4
06-06-20,25,33,7.29,5.9,267,60.6
07-06-20,26,38,7.45,5.8,249,58.7
08-06-20,25,35,7.29,5.9,219,59.8
09-06-20,23,29,7.39,5.7,240,62.5
10-06-20,24,37.29,7.61,5.6,276,58.9
11-06-20,23,29,7.29,5.9,217,62.5
