Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
01-01-18,15,19,7.49,3.3,252,51.5
02-01-18,15,23,7.64,3.6,198,50
03-01-18,15,25,7.4,3.2,223,48.9
04-01-18,15,19,7.53,3.3,236,51.5
05-01-18,15,22,7.23,3.2,211,50.1
06-01-18,14,16,7.2,2.9,210,52.4
07-01-18,14,18,7.95,2.4,201,50.7
08-01-18,14,20,7.73,2.2,174,49.4
09-01-18,14,23,7.64,2.5,195,48.8
10-01-18,15,25,7.39,2.3,205,47.8
11-01-18,14,18,7.7,2.4,175,50.7
12-01-18,15,27,7.33,2.5,170,47.4
13-01-18,15,30,7.64,2.4,182,46.3
14-01-18,15,18,7.6,2.2,175,50.3
15-01-18,15,18,7.5,2.3,174,50.5
16-01-18,14,22,7.73,2.1,196,48.5
17-01-18,14,20,7.4,2.2,300,49.4
18-01-18,13,24,7.71,2.8,170,48.8
19-01-18,13,21,7.15,3.4,196,50.7
20-01-18,14,23,7.45,2.4,262,48.7
21-01-18,14,18,7.4,2.6,306,51
22-01-18,14,23,7.74,2.3,364,48.5
23-01-18,15,20,7.36,2.3,323,49.6
24-01-18,15,24,7.17,2.1,218,47.8
25-01-18,14,26,7.14,2.4,209,47.6
26-01-18,14,21,7.37,2.2,186,49.1
27-01-18,12,23,7.98,2.5,164,48.8
28-01-18,14,18,7.3,3.5,194,52.2
29-01-18,14,21,7.95,2.3,180,49.2
30-01-18,14,23,7.92,2.4,192,48.7
31-01-18,13,22,7.64,2.2,196,48.7
01-02-18,13,25,7.92,2.4,196,47.9
02-02-18,14,19,7.82,2.6,218,50.6
03-02-18,14,29,7.95,2.3,241,46.5
04-02-18,14,27,7.9,2.4,240,47.3
05-02-18,14,24,7.96,2.6,245,48.6
06-02-18,14,26,7.19,2.3,236,47.4
07-02-18,13,20,8.23,6.7,213,52.2
08-02-18,13,15,8.41,6.6,199,54.7
09-02-18,13,18,8.32,6,284,53.2
10-02-18,13,22,8.54,6.2,218,51.2
11-02-18,13,12,8.1,6.7,240,56.5
12-02-18,13,14,8.2,6.2,235,55.3
13-02-18,13,15,8.37,6.7,211,54.7
14-02-18,12,17,7.83,6.15,225,70.2
15-02-18,12,13.5,8.03,6,223,55.7
16-02-18,12,12,8.51,6.4,227,56.3
17-02-18,13,19,8.57,6.2,216,52.6
18-02-18,13,16,8.48,5.9,215,54.2
19-02-18,13,16,8.44,6.2,250,54.2
20-02-18,13,18,8.45,6.7,299,53.1
21-02-18,13,19,8.15,5.9,235,52.7
22-02-18,15,17,8.31,6.3,219,53.7
23-02-18,15,16,8.2,6.4,220,54.3
24-02-18,15,20,8.37,6.4,236,52.1
25-02-18,15,23,8.69,6.6,228,50.7
26-02-18,15,18,8.35,6.1,234,53.2
27-02-18,15,16,8.3,6.4,230,54.2
28-02-18,15,17,8.28,6.3,234,53.7
01-03-18,15,11,8.3,5.9,270,57
02-03-18,15,18,8.22,6.6,262,53.2
03-03-18,15,20,8.54,6.6,246,52.1
04-03-18,15,22,8.29,6.5,220,51.2
05-03-18,15,12,8.34,6.2,235,56.4
06-03-18,14,12,7.98,6.8,214,74.7
07-03-18,14,10,7.92,6,196,76.5
08-03-18,14,13,7.98,6.8,210,73.8
09-03-18,14,15,7.84,6.5,224,71.9
10-03-18,14,18,7.49,6.3,245,69.4
11-03-18,14,22,7.19,6.8,214,66.5
12-03-18,14,12,7.82,6.6,219,74.7
13-03-18,15,16,7.63,6.3,214,71.1
14-03-18,14,18,7.32,6.2,240,69.4
15-03-18,14,15,7.64,6.7,219,71.9
16-03-18,14,14,7.6,6.3,215,72.8
17-03-18,14,18,7.56,6.3,217,69.4
18-03-18,14,20,7.49,6.7,213,67.9
