Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
01-01-17,16,18,7.4,3.3,320,52
02-01-17,14,22,7.14,3.4,309,50.3
03-01-17,14,25,7.42,3.8,322,49.4
04-01-17,14,23,7.22,3.3,357,49.8
05-01-17,13,21,7.52,3.4,334,50.7
06-01-17,13,22,7.29,3.7,364,50.5
07-01-17,13,20,7.39,3.5,349,51.2
08-01-17,13,18,7.2,3.6,328,52.3
09-01-17,13,16,7.16,3.3,320,53
10-01-17,13,17,7.2,3.4,393,52.6
11-01-17,13,16,7.18,3.3,320,53
12-01-17,13,19,7.25,3.8,354,52
13-01-17,13,24,7.37,3.5,366,49.5
14-01-17,13,27,7.29,3.2,335,48.1
15-01-17,13,22,7.3,3.6,325,50.4
16-01-17,13,24,7.18,3.2,347,49.3
17-01-17,12,27,7.39,3.7,329,48.5
18-01-17,12,23,7.49,3.3,392,49.8
19-01-17,13,20,7.32,3.6,312,51.3
20-01-17,13,24,7.25,3.3,335,49.4
21-01-17,13,27,7.18,3.6,312,48.5
22-01-17,13,23,7.14,3.3,309,49.8
23-01-17,13,27,7.39,3.4,342,48.3
24-01-17,13,32,7.7,3.7,342,46.8
25-01-17,13,38,7.41,3.2,394,44.9
26-01-17,13,45,7.22,3.7,362,43.5
27-01-17,136,34,7.41,3.2,366,45.9
28-01-17,12,30,7.29,3.4,373,47.3
29-01-17,12,28,7.34,3.4,370,48
30-01-17,13,24,7.37,3.2,368,49.3
31-01-17,13,22,7.14,3.4,372,50.3
01-02-17,12,27,7.45,3.5,377,48.4
02-02-17,12,23,7.39,3.7,359,50.1
03-02-17,12,26,7.37,3.3,367,48.6
04-02-17,12,29,7.26,3.5,369,47.7
05-02-17,12,21,7.39,3.8,366,51
06-02-17,12,29,7.63,3.9,382,47.9
07-02-17,12,24,7.41,3.4,342,49.4
08-02-17,12,20,7.35,3.7,362,51.4
09-02-17,12,23,7.45,3.3,369,49.8
10-02-17,12,26,7.18,3.8,357,49
11-02-17,12,23,7.42,3.2,367,49.7
12-02-17,12,27,7.59,3.5,377,48.4
13-02-17,12,22,7.25,3.2,358,50.1
14-02-17,12,27,7.33,3.4,373,48.3
15-02-17,14,27,7.82,3.8,396,48.6
16-02-17,14,24,7.42,3.6,319,49.6
17-02-17,15,22,7.14,3.7,412,50.5
18-02-17,15,26,7.26,3.5,362,48.8
19-02-17,15,20,7.41,3.4,410,51.2
20-02-17,15,25,7.39,3.8,396,49.4
21-02-17,15,21,7.39,3.7,347,51
22-02-17,15,23,7.48,3.4,332,49.9
23-02-17,15,28,7.22,3.6,335,48.1
24-02-17,15,22,7.23,3.4,342,50.3
25-02-17,15,29,7.33,3.8,307,47.9
26-02-17,15,20,7.16,3.4,315,51.2
27-02-17,15,23,7.44,3.3,361,49.8
28-02-17,15,24,7.19,3.4,348,49.4
01-03-17,15,22,7.44,3.8,362,50.6
02-03-17,15,27,7.48,3.3,331,48.2
03-03-17,15,29,7.15,3.6,366,47.8
04-03-17,15,24,7.23,3.3,346,49.4
05-03-17,16,27,7.45,3.6,370,48.5
06-03-17,16,22,7.45,3.6,347,50.4
07-03-17,17,20,7.45,3.6,322,51.3
08-03-17,15,28,7.32,3.2,361,47.8
09-03-17,16,25,7.42,3.6,326,49.2
10-03-17,16,28,7.27,3.4,320,48
11-03-17,16,20,7.84,3.7,335,51.4
12-03-17,17,23,7.28,3.4,360,49.9
13-03-17,17,26,7.42,3.3,346,48.6
14-03-17,17,22,7.14,3.8,324,50.6
15-03-17,17,28,7.37,3.4,317,48
16-03-17,17,22,7.49,3.7,346,50.5
17-03-17,17,21,7.4,3.3,320,50.6
20-03-17,17,25,7.39,3.6,316,49.2
21-03-17,18,27,7.45,3.2,342,48.1
22-03-17,18,23,7.39,3.4,325,49.9
23-03-17,18,21,7.31,3.3,323,50.6
24-03-17,18,23,7.34,3.3,315,49.8
25-03-17,18,21,7.3,3.4,335,50.7
26-03-17,18,25,7.37,3.8,311,49.4
27-03-17,18,27,7.15,3.4,369,48.3
28-03-17,18,27,7.45,3.8,346,48.6
29-03-17,18,20,7.7,3.7,340,51.4
30-03-17,18,27,7.45,3.5,346,48.4
31-03-17,20,25,7.14,3.7,267,49.3
01-04-17,21,22,7.39,3.5,270,50.4
02-04-17,21,26,7.41,3.7,246,48.9
03-04-17,21,23,7.31,3.2,267,49.7
04-04-17,21,27,7.43,3.8,296,48.6
05-04-17,22,29,9.73,3.7,268,30.4
07-04-17,22,21,7.27,3.8,249,51
08-04-17,22,27,7.59,3.6,261,48.5
09-04-17,22,29,7.19,3.7,282,47.8
10-04-17,22,20,7.45,3.9,316,51.6
11-04-17,22,23,7.84,3.3,373,49.8
12-04-17,22,20,7.15,3.7,359,51.4
13-04-17,22,23,7.44,3.9,392,50.2
14-04-17,20.5,18.5,7.41,5.2,307,69
15-04-17,23,21,7.7,3.3,357,50.6
17-04-17,23,25,7.44,3.8,346,49.4
18-04-17,23,27,7.19,3.8,363,48.6
19-04-17,23,22,7.45,3.7,435,50.5
21-04-17,23,32,7.48,3.7,368,46.8
22-04-17,23,21,7.59,3.4,296,50.7
23-04-17,23,26,7.18,3.3,311,48.6
24-04-17,23,28,7.7,1.75,342,45.8
25-04-17,23,30,7.64,3.8,374,47.5
28-04-17,23,23,7.45,3.2,272,49.7
29-04-17,19,13,7.18,4.4,158,55.6
30-04-17,19,15,7.45,4.6,186,54.6
02-05-17,20,25,7.39,3.8,216,49.4
11-05-17,21,18,7.31,3.7,266,52.4
12-05-17,21,17,7.44,3.4,269,52.6
13-05-17,21,19,7.37,3.7,285,51.9
14-05-17,21,16,7.3,3.2,282,52.9
15-05-17,21,15,7.44,3.4,275,53.6
16-05-17,2,18,7.75,3.2,266,51.9
18-05-17,20,17,7.2,3.3,280,52.5
19-05-17,20,15,7.25,3.4,272,53.6
23-05-17,22,23,7.45,3.7,273,50.1
24-05-17,22,21,7.15,3.4,271,50.7
25-05-17,21.5,18,7.42,3.55,256,52.2
26-05-17,24,25,7.29,3.2,270,48.9
27-05-17,24,20,7.49,3.8,318,51.5
28-05-17,24,16,7.3,3.3,306,53
29-05-17,25,19,7.45,3.8,318,52
30-05-17,20,21,7.21,3.3,307,50.6
31-05-17,26,23,7.49,4.3,321,50.5
01-06-17,26,20,7.15,4.4,326,51.9
02-06-17,26,24,7.41,4.3,301,50.1
03-06-17,26,26,7.22,4.8,320,49.5
05-06-17,27,21,7.53,4.7,295,51.6
06-06-17,27,21,7.53,4.2,248,51.3
07-06-17,27,27,7.37,4.3,272,48.9
11-06-17,26,18,7.37,3.9,317,52.6
12-06-17,26,20,7.21,4.8,312,52.2
15-06-17,26,19,7.21,3.1,305,51.3
18-06-17,27,16,7.2,3.4,273,53.1
19-06-17,23,20,7.32,3.8,312,51.5
20-06-17,23,26,7.19,3.2,321,48.5
21-06-17,23,21,7.45,3.6,366,50.9
22-06-17,23,23,7.57,3.3,316,49.8
23-06-17,23,21,4.33,3.8,296,32.3
24-06-17,24,27,7.57,4.8,270,49.1
25-06-17,25,23,7.19,5.8,281,65.9
26-06-17,25,28,7.35,5.9,264,63
27-06-17,25,20,7.53,6.4,296,67.9
28-06-17,24,23,7.62,6.9,257,65.9
29-06-17,26,41,7.22,6.7,257,57.6
30-06-17,26,38,7.24,6.8,192,58.7
01-07-17,26,30,7.59,5.9,214,62
02-07-17,26,32,7.15,5.4,240,61.1
03-07-17,27,29,7.37,5.8,219,62.5
04-07-17,27,26,7.49,4.8,219,49.5
05-07-17,27,22,7.15,4.3,266,50.9
06-07-17,27,28,7.32,4.8,295,48.7
07-07-17,27,20,7.21,4.7,266,52.1
08-07-17,27,25,7.34,4.4,285,49.7
09-07-17,27,29,7.15,3.8,264,47.9
10-07-17,26,22,7.16,3.6,280,50.4
12-07-17,23,78,7.28,3.1,263,38.7
13-07-17,22,306,7.26,3.9,292,32.2
14-07-17,26,312,7.18,3.7,267,32.1
15-07-17,28,170,7.18,1.7,146,34
16-07-17,30,95,7.45,1.8,166,37
17-07-17,28,65,7.35,1.3,285,38.9
18-07-17,28,58,7.29,1.5,246,39.9
19-07-17,28,47,7.18,1.7,240,41.7
21-07-17,27,35,7.55,1.8,227,44.1
22-07-17,27,29,7.15,1.6,196,45.2
23-07-17,26,26,7.45,1.4,187,45.4
25-07-17,26,29,7.32,2.6,216,46.9
26-07-17,26,25,7.51,2.1,172,47.4
27-07-17,26,27,7.22,2.3,196,47.1
28-07-17,26,21,7.14,2,324,48.6
29-07-17,26,25,7.37,1.7,317,46.5
30-07-17,26,540,7.27,2.1,208,31
31-07-17,27,295,7.2,2.4,212,32.2
01-08-17,26,123,7.16,2.7,199,35.7
02-08-17,27,120,7.24,2.2,206,35.8
04-08-17,28,67,7.23,2.1,208,39.4
06-08-17,28,37,7.22,1.7,198,43.5
07-08-17,28,28,7.18,1.7,201,45.7
08-08-17,28,18,7.23,1.3,184,47.3
09-08-17,26,16,7.2,1.4,187,48.5
10-08-17,28,650,7.18,1.9,196,30.7
11-08-17,28,122,7.11,1.8,206,35.6
12-08-17,28,85,7.2,1.9,208,37.7
13-08-17,28,60,7.14,1.6,203,39.8
14-08-17,28,30,7.3,2.3,195,46.2
15-08-17,28,19,7.16,1.9,185,49.1
16-08-17,28,17,7.27,1.7,196,49.3
17-08-17,28,15,7.18,1.1,193,47.2
18-08-17,28,18,7.39,1.3,214,47.3
19-08-17,28,16,7.15,1.6,196,49.3
20-08-17,28,14,7.11,1.9,187,51.2
21-08-17,28,18,7.29,1.7,209,48.9
22-08-17,28,15,7.45,2.2,224,51.6
23-08-17,28,17,7.19,2.5,199,51.3
26-08-17,28,27,7.62,3.9,185,48.7
27-08-17,28,33,7.18,3.1,199,46.1
28-08-17,28,38,7.42,3.3,191,44.9
29-08-17,28,31,7.19,3.8,172,47.2
31-08-17,28,22,7.45,3.3,214,50.2
01-09-17,28,20,7.2,3.2,208,50.9
02-09-17,28,18,7.16,3.4,210,52.1
03-09-17,28,17,7.12,3.7,200,52.9
04-09-17,26,18,7.18,3.4,216,52.1
05-09-17,26,15,7.16,3.9,210,54.1
07-09-17,26,12,7.4,3.9,208,55.7
08-09-17,26,17,7.51,3.9,215,53.1
09-09-17,26,16,7.34,3.4,206,53.1
11-09-17,25,39,7.7,3.2,224,44.6
14-09-17,25,25,7.39,3.7,181,49.3
16-09-17,23,15,7.23,3.1,204,53.2
18-09-17,22,16,7.39,3,199,52.6
19-09-17,22,12,7.25,3.6,210,55.4
20-09-17,24,15,7.29,3.2,196,53.4
22-09-17,27,18,7.18,3.8,199,52.5
24-09-17,27,8,7.11,3.6,155,57.6
25-09-17,25,15,7.31,3.2,178,53.4
26-09-17,23,11,7.39,3.1,192,55.4
27-09-17,23,10,7.13,3.7,164,56.6
28-09-17,23,15,7.31,3.1,170,53.2
01-10-17,22,16,7.2,3.2,176,52.9
02-10-17,22,18,7.42,3.5,159,52.2
03-10-17,22,18,7.52,3,196,51.6
04-10-17,22,15,7.22,3.2,181,53.4
05-10-17,22,12,7.41,3.1,211,54.8
07-10-17,22,17,7.41,3.4,175,52.6
09-10-17,22,15,7.18,3.1,170,53.2
10-10-17,22,13,7.45,2.8,185,53.8
11-10-17,22,12,7.48,3.5,186,55.3
12-10-17,22,9,7.3,3.6,204,57.1
13-10-17,23,14,7.52,3.2,178,53.9
14-10-17,23,11,7.34,3.6,192,56
16-10-17,22,10,7.29,3.3,170,56.2
18-10-17,22,13,7.47,3.3,195,54.6
19-10-17,23,15,7.14,3.7,172,53.9
20-10-17,23,12,7.59,3.2,216,55
21-10-17,23,17,7.28,3.3,199,52.5
23-10-17,23,10,7.39,3.5,180,56.4
25-10-17,23,11,7.36,3.1,195,55.4
27-10-17,23,13,7.32,3.2,162,54.4
28-10-17,23,15,7.45,3.8,192,54
30-10-17,23,17,7.22,3.4,164,52.6
31-10-17,22,12,7.42,3.7,216,55.5
01-11-17,22,13,7.14,3.2,198,54.4
03-11-17,20,18,7.29,3.2,173,51.9
04-11-17,20,15,7.1,3.4,181,53.6
05-11-17,20,11,7.1,3.6,185,56
06-11-17,22,13,7.23,3,198,54.1
07-11-17,21,15,7.52,3.3,169,53.5
08-11-17,21,13,7.39,3.2,192,54.4
09-11-17,21,18,7.19,3.5,211,52.2
10-11-17,21,19,7.14,3.2,173,51.4
11-11-17,21,16,7.11,3.3,201,53
12-11-17,21,14,7.16,3.2,208,53.9
13-11-17,20,14,7.12,3.3,206,54
15-11-17,18,21,7.2,3.4,195,50.7
16-11-17,18,19,7.18,3.6,208,51.8
17-11-17,22,22,7.25,3.2,204,50.1
18-11-17,22,20,7.2,3.4,201,51.2
19-11-17,22,18,7.16,3.3,195,52
20-11-17,21,15,7.8,3.1,186,53.2
22-11-17,20,13,7.24,3.1,207,54.3
23-11-17,20,19,7.49,3.5,224,51.7
24-11-17,20,16,7.54,3.5,13,53.2
28-11-17,20,12,7.63,3.5,221,55.3
29-11-17,19,15,7.69,3.2,182,53.4
30-11-17,19,20,7.35,3,199,50.7
02-12-17,20,17,7.25,3.1,196,52.2
03-12-17,20,13,7.45,3.4,174,54.7
05-12-17,20,18,7.59,3.1,216,51.7
06-12-17,18,14,7.15,3.2,180,53.9
07-12-17,16,19,7.41,3.1,157,51.3
08-12-17,13,16,7.45,3.5,181,53.2
09-12-17,13,22,7.54,3.5,196,50.4
10-12-17,13,18,7.5,3.3,208,52
11-12-17,15,23,7.19,3.2,235,49.7
12-12-17,15,22,7.41,3.1,199,50
13-12-17,15,27,7.33,3.5,230,48.4
14-12-17,14,81,7.62,3.2,274,38.5
15-12-17,15,67,7.3,3.3,223,39.9
16-12-17,15,35,7.25,3.2,220,45.7
17-12-17,15,18,7.2,3.4,217,52.1
18-12-17,14,20,7.92,3.2,235,50.9
19-12-17,14,25,7.53,3.2,206,48.9
20-12-17,13,27.9,7.42,3.3,196,47.9
21-12-17,13,22,7.33,3.2,214,50.1
22-12-17,14,29,7.52,3.2,246,47.5
23-12-17,14,22,7.14,3.2,172,50.1
24-12-17,14,20,7.38,3.2,13,50.9
25-12-17,16,20,7.12,3.1,175,50.8
26-12-17,18,15.5,7.41,3.25,168,53.2
27-12-17,14,29,7.18,3.1,185,47.4
28-12-17,14,22,7.64,3.3,195,50.2
29-12-17,16,16,7.2,3.1,170,52.7
30-12-17,15,18,7.49,3.2,184,51.9
31-12-17,15,16,7.4,3.4,175,53.1
