Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,13.38421053,40.93368421,8.305263158,3.484210526,247.1052632,31.92105263
Feb,13.08823529,79.50941176,8.338235294,3.394117647,221.1176471,26.18235294
Mar,15.35294118,53.71176471,8.29,2.8,215,26.01764706
Apr,18.69285714,12.65428571,8.379285714,3.95,193.0714286,37.37142857
May,22.79166667,16.26333333,8.2975,3.783333333,217.3333333,34.56666667
Jun,25.95238095,31.09857143,8.400952381,3.138095238,192.3809524,30.26190476
Jul,28.5,102.8714286,8.377857143,4,215.7142857,23.1
Aug,28.07692308,116.9230769,8.379230769,4.515384615,224.8461538,23.16923077
Sep,26.1625,32.5225,8.323125,3.64375,211.75,29.93125
Oct,23.41764706,14.13529412,8.232352941,2.476470588,207.8235294,35.17647059
Nov,17.86,28.8,8.286,3.98,228.2,33.98
Dec,13.78333333,28.87222222,8.250555556,4.716666667,201,37.63888889
