Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,17.31889785,30.29159921,7.340986223,7.080309382,235.2195901,67.36451613
Feb,17.32187872,36.52509468,7.361377604,7.136139619,245.0246652,64.29285714
Mar,16.40076613,31.66638929,7.321758401,7.104445628,237.4164315,66.81935484
Apr,17.75690625,22.25035542,7.379991319,7.27995752,237.2821181,74.46
May,20.11642767,24.9011497,7.356140457,7.33803142,250.7577201,72.35806452
Jun,22.29011113,65.84786875,7.278504984,7.324778537,249.2519965,55.71
Jul,26.08380187,176.0958737,7.38212836,7.221873519,269.8381006,48.90645161
Aug,25.99658602,192.326906,7.338760417,7.164143657,248.3785282,49.2516129
Sep,25.68851762,44.17469482,7.323437083,7.275449118,268.2782552,63.31666667
Oct,24.52009178,40.80056387,7.131221257,6.742417977,283.7761257,61.09677419
Nov,22.58574107,35.69449247,7.080434961,6.869075574,246.6078559,66.63
Dec,19.84006692,46.54601321,6.670366184,6.943188012,240.2642683,54.98709677
