Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,14.37701613,22.17943548,7.230766129,2.659677419,306.1612903,49.46451613
Feb,18.02790179,29.61830357,7.288995536,3.054241071,345.3727679,47.3
Mar,17.17439516,22.59475806,7.274133065,2.629435484,357.8427419,49.21290323
Apr,16.41875,26.35,7.207520833,2.613333333,338.8166667,47.80666667
May,20.87802419,23.61693548,7.342096774,2.848387097,353.9395161,49.19032258
Jun,23.97083333,30.15416667,7.411854167,3.383541667,339.94375,47.33666667
Jul,22.51310484,35.89919355,7.215201613,3.17016129,328.5725806,45.69677419
Aug,23.01612903,25.49193548,7.346229839,2.994758065,373.9939516,48.58387097
Sep,23.52395833,26.60416667,7.223479167,3.253541667,354.3104167,48.39666667
Oct,20.8125,22.65725806,7.497379032,3.733266129,351.5302419,50.39354839
Nov,17.240625,21.7625,7.3716875,3.1925,365.4208333,50.29333333
Dec,16.68346774,20.19153226,7.297479839,3.315725806,349.0665323,51.19032258
