Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,16.39830747,26.18619461,7.540292339,4.725856346,318.916015,54.18709677
Feb,14.65088068,24.46162067,7.563954613,4.629341405,320.6772863,54.28571429
Mar,18.11803478,25.73321827,7.580058804,4.993987761,307.4292217,56.59677419
Apr,20.55667168,22.96205117,7.625409358,5.554063733,272.0773118,61.05333333
May,20.1093078,22.13562948,7.783640233,5.80625,285.1849014,60.16129032
Jun,21.59871843,24.98206439,7.551236111,6.012515783,284.674577,59.80666667
Jul,22.33258289,46.15651882,7.498501344,4.740188172,250.0462814,50.27741935
Aug,22.25263217,37.49395161,7.504833669,4.420743728,239.9512321,49.18709677
Sep,21.11650764,22.16384259,7.569966898,5.417506944,244.1213426,58.9
Oct,20.25167473,21.54792787,7.501806452,5.629986559,242.8889337,65.13225806
Nov,15.57135741,20.38766204,7.665455093,5.723261574,249.2802778,62.49666667
Dec,17.72789222,23.81638505,7.498751408,5.053679756,236.0286434,56.64193548
