Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,14.42821237,28.27588852,7.454025538,5.190006901,233.2741935,53.7483871
Feb,14.02335565,23.4731217,8.081325893,6.908321314,231.3581101,54.38571429
Mar,14.38849462,22.34954277,7.666106183,7.269281533,235.6545699,66.0516129
Apr,17.67515278,31.18058869,7.57340625,6.910469994,245.3536806,61.88666667
May,19.70219086,22.92293266,7.377242944,7.570167233,275.1846774,65.61935484
Jun,21.82388889,36.32053562,7.36423125,7.388147333,322.4499306,65.04333333
Jul,23.10473118,38.50706143,7.27561828,5.956259932,257.8806452,60.89354839
Aug,22.20596774,43.6758624,7.282910618,5.131691327,261.3327285,50.29032258
Sep,22.71355556,19.5986815,7.269494371,5.263427521,240.309174,61.14666667
Oct,21.8544086,21.41113346,7.343070635,6.743075379,235.2558397,67.06451613
Nov,20.614375,21.62834641,7.103588542,6.925692889,235.3644097,65.30666667
Dec,20.90905242,28.08226586,6.986947581,7.436642322,225.5326613,60.68709677
