Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,19.20392599,47.36571082,6.747380712,7.240084332,253.7252604,56.31935484
Feb,19.57209725,59.8210529,6.799197198,7.24070434,250.4863057,55.44137931
Mar,18.95579259,61.37946351,6.854900874,7.191812666,252.890415,53.70645161
Apr,18.57950949,72.79812106,6.934718998,7.060364693,239.9139447,51.69666667
May,20.85688076,84.0883243,7.019251152,7.072496491,254.4323157,49.78709677
Jun,21.04751783,114.0607939,6.959230779,7.465475366,240.9490346,48.70666667
Jul,23.11275985,133.0239065,7.053466662,7.696442243,250.4500342,47.39354839
Aug,25.02666223,123.4355995,7.128012385,7.668194424,250.7204277,48.26774194
Sep,23.82917132,60.3296006,7.142008482,7.611954113,262.9399293,54.39666667
Oct,23.93313886,56.61764638,7.184198589,7.722911241,238.6969506,55.82258065
Nov,23.75865495,56.36174452,7.101401042,7.752929947,235.8342448,56.33333333
Dec,23.77248362,51.64427813,7.11109375,7.756196582,236.1515877,58.21612903
