Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,11.88571429,18.89357143,8.321785714,3.482142857,184.5714286,33.53571429
Feb,13.57857143,16.6225,8.394285714,3.503571429,186.5,34.31428571
Mar,17.33571429,33.27785714,8.333928571,3.421428571,185.3928571,30.43928571
Apr,21.36551724,25.13551724,12.46413793,3.389655172,175.8275862,31.3
May,28.41935484,26.74193548,8.223548387,3.012903226,191.0645161,30.85483871
Jun,25.83333333,22.3,8.026666667,3.543333333,196.4666667,33.03333333
Jul,26.64516129,22.64516129,8.245806452,3.519354839,212.5806452,32.35806452
Aug,28.06451613,25.65225806,12.40935484,3.483870968,200.8709677,31.01290323
Sep,26.99,42.71,8.255333333,3.51,206.7333333,29.24
Oct,23.1483871,19.21290323,7.866774194,2.864516129,290.9032258,46.7516129
Nov,23.42,18.53066667,7.727,2.686666667,283.3666667,47.92333333
Dec,13.58064516,19.67451613,7.767741935,2.612903226,316.7741935,43.92903226
