Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,19.20392599,47.36571082,6.747380712,7.240084332,253.7252604,56.31935484
Feb,19.57209725,59.8210529,6.799197198,7.24070434,250.4863057,55.44137931
Mar,18.95579259,61.37946351,6.854900874,7.191812666,252.890415,53.70645161
Oct,23.93313886,56.61764638,7.184198589,7.722911241,238.6969506,55.82258065
Nov,23.75865495,56.36174452,7.101401042,7.752929947,235.8342448,56.33333333
Dec,23.77248362,51.64427813,7.11109375,7.756196582,236.1515877,58.21612903
