Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,17.31889785,30.29159921,7.340986223,7.080309382,235.2195901,67.36451613
Feb,17.32187872,36.52509468,7.361377604,7.136139619,245.0246652,64.29285714
Mar,16.40076613,31.66638929,7.321758401,7.104445628,237.4164315,66.81935484
Oct,24.52009178,40.80056387,7.131221257,6.742417977,283.7761257,61.09677419
Nov,22.58574107,35.69449247,7.080434961,6.869075574,246.6078559,66.63
Dec,19.84006692,46.54601321,6.670366184,6.943188012,240.2642683,54.98709677
