Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,9,14,7.2,3,301,53.6
Jan,10.3125,21.6875,7.231875,2.94375,297.6875,49.9
Jan,18.125,32.8125,7.33,2.9625,357.625,46.1
Jan,16.5,17.25,7.1375,2.05,356,50.2
Jan,14.375,23.375,7.19125,2.1875,329.375,48.1
Jan,27.875,32.75,7.6825,3.525,377.5,46.5
Jan,28.8125,37.4375,7.148125,3.15,321.25,45
Jan,22.4375,43.625,7.20375,3.2875,312.5,43.6
Jan,25.1875,28.3125,7.414375,2.30625,384.5625,46.7
Jan,25.625,29.8125,7.26125,3.43125,366.875,47.4
Jan,19.5,19.875,7.4725,3.8375,366.375,51.6
Jan,17,20.5,7.3,3.4,384.5,50.9
Jan,10.125,16.25,7.18875,2.6625,289,52
Jan,10.3125,16.625,7.186875,2.60625,287,51.7
Jan,10.5,17,7.185,2.55,285,51.4
Jan,10.6875,17.375,7.183125,2.49375,283,51.1
Jan,10.875,17.75,7.18125,2.4375,281,50.9
Jan,11.0625,18.125,7.179375,2.38125,279,50.6
Jan,11.25,18.5,7.1775,2.325,277,50.3
Jan,11.4375,18.875,7.175625,2.26875,275,50
Jan,11.625,19.25,7.17375,2.2125,273,49.8
Jan,11.8125,19.625,7.171875,2.15625,271,49.5
Jan,12,20,7.17,2.1,269,49.2
Jan,11.8125,20.1875,7.176875,2.19375,272.1875,49.4
Jan,11.625,20.375,7.18375,2.2875,275.375,49.5
Jan,11.4375,20.5625,7.190625,2.38125,278.5625,49.6
Jan,11.25,20.75,7.1975,2.475,281.75,49.6
Jan,11.0625,20.9375,7.204375,2.56875,284.9375,49.7
Jan,10.875,21.125,7.21125,2.6625,288.125,49.8
Jan,10.6875,21.3125,7.218125,2.75625,291.3125,49.8
Jan,10.5,21.5,7.225,2.85,294.5,49.9
Feb,9,14,7.2,3,301,53.6
Feb,10.125,21.875,7.23875,3.0375,300.875,50
Feb,17.75,32.375,7.34,2.975,358.75,46.2
Feb,16.375,18.0625,7.134375,2.0875,354.5,50
Feb,14.5625,22.5625,7.186875,2.18125,330.0625,48.4
Feb,27.75,32.5,7.685,3.55,375,46.6
Feb,29,38,7.11,3.1,320,44.8
Feb,22.21875,43.8125,7.206875,3.29375,312.25,43.6
Feb,25.125,28.875,7.41625,2.2375,383.375,46.4
Feb,25.5,30.25,7.275,3.425,368.5,47.2
Feb,19.25,20.0625,7.44375,3.78125,368.8125,51.5
Feb,17.25,20.8125,7.275,3.4375,386.0625,50.8
Feb,12.4375,26.75,7.28,3.38125,330,48.4
Feb,13.125,27.5,7.28,3.3375,332,48.1
Feb,13.8125,28.25,7.28,3.29375,334,47.8
Feb,14.5,29,7.28,3.25,336,47.5
Feb,15.1875,29.75,7.28,3.20625,338,47.2
Feb,15.875,30.5,7.28,3.1625,340,46.9
Feb,16.5625,31.25,7.28,3.11875,342,46.7
Feb,17.25,32,7.28,3.075,344,46.4
Feb,17.9375,32.75,7.28,3.03125,346,46.2
Feb,18.625,33.5,7.28,2.9875,348,45.9
Feb,19.3125,34.25,7.28,2.94375,350,45.7
Feb,20,35,7.28,2.9,352,45.4
Feb,19.625,34.5625,7.29,2.9125,353.125,45.6
Feb,19.25,34.125,7.3,2.925,354.25,45.7
Feb,18.875,33.6875,7.31,2.9375,355.375,45.8
Feb,18.5,33.25,7.32,2.95,356.5,46
Mar,9,14,7.2,3,301,53.6
Mar,9.9375,22.0625,7.245625,3.13125,304.0625,50
Mar,17.375,31.9375,7.35,2.9875,359.875,46.4
Mar,16.25,18.875,7.13125,2.125,353,49.7
Mar,14.75,21.75,7.1825,2.175,330.75,48.7
Mar,27.625,32.25,7.6875,3.575,372.5,46.7
Mar,28.78125,38.1875,7.113125,3.10625,319.75,44.8
Mar,22,44,7.21,3.3,312,43.6
Mar,25.0625,29.4375,7.418125,2.16875,382.1875,46.2
Mar,25.375,30.6875,7.28875,3.41875,370.125,47.1
Mar,19,20.25,7.415,3.725,371.25,51.3
Mar,17.5,21.125,7.25,3.475,387.625,50.7
Mar,14.1875,27.125,7.421875,3.025,369.5,47.9
Mar,14.375,26.25,7.40375,2.95,369,48.2
Mar,14.5625,25.375,7.385625,2.875,368.5,48.4
Mar,14.75,24.5,7.3675,2.8,368,48.6
Mar,14.9375,23.625,7.349375,2.725,367.5,48.9
Mar,15.125,22.75,7.33125,2.65,367,49.1
Mar,15.3125,21.875,7.313125,2.575,366.5,49.4
Mar,15.5,21,7.295,2.5,366,49.6
Mar,15.6875,20.125,7.276875,2.425,365.5,49.8
Mar,15.875,19.25,7.25875,2.35,365,50
Mar,16.0625,18.375,7.240625,2.275,364.5,50.3
Mar,16.25,17.5,7.2225,2.2,364,50.5
Mar,16.4375,16.625,7.204375,2.125,363.5,50.7
Mar,16.625,15.75,7.18625,2.05,363,50.9
Mar,16.8125,14.875,7.168125,1.975,362.5,51.1
Mar,17,14,7.15,1.9,362,51.2
Mar,16.875,14.8125,7.146875,1.9375,360.5,51
Mar,16.75,15.625,7.14375,1.975,359,50.7
Mar,16.625,16.4375,7.140625,2.0125,357.5,50.5
Oct,9.5625,15.125,7.194375,2.83125,295,52.8
Oct,10.375,24.5,7.28,3.5125,324,49.3
Oct,14.75,28.875,7.42,3.075,367.75,47.4
Oct,15.375,24.5625,7.109375,2.3875,342.5,48.1
Oct,16.0625,16.0625,7.151875,2.13125,335.5625,51
Oct,26.75,30.5,7.705,3.75,355,47.3
Oct,27.25,39.5,7.135,3.15,318,44.5
Oct,23.75,33.9375,7.28875,3.25625,350.5,46
Oct,25.75,28.125,7.30375,2.625,369,47.2
Oct,24.25,28.5,7.4375,3.65,366.75,48
Oct,17.4375,20.4375,7.3375,3.425,379.3125,51
Oct,18.6875,22.4375,7.11875,3.68125,393.5625,50.3
Oct,23.6875,25.875,7.518125,3.8375,360.5625,49
Oct,23.5,25,7.545,3.9,358.5,49.4
Oct,23.3125,24.125,7.571875,3.9625,356.4375,49.8
Oct,23.125,23.25,7.59875,4.025,354.375,50.2
Oct,22.9375,22.375,7.625625,4.0875,352.3125,50.6
Oct,22.75,21.5,7.6525,4.15,350.25,51.1
Oct,22.5625,20.625,7.679375,4.2125,348.1875,51.5
