Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Jan,16.39830747,26.18619461,7.540292339,4.725856346,318.916015,54.18709677
Feb,14.65088068,24.46162067,7.563954613,4.629341405,320.6772863,54.28571429
Mar,18.11803478,25.73321827,7.580058804,4.993987761,307.4292217,56.59677419
Oct,20.25167473,21.54792787,7.501806452,5.629986559,242.8889337,65.13225806
Nov,15.57135741,20.38766204,7.665455093,5.723261574,249.2802778,62.49666667
Dec,17.72789222,23.81638505,7.498751408,5.053679756,236.0286434,56.64193548
