Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
31-01-16,13.21875,21.8125,7.1315625,5.00625,268.21875,66.7
01-02-16,16.54,20.1,7.1146,6.042,261.06,67.8
02-02-16,13.03125,23.9375,8.0171875,5.44375,314.78125,50.4
03-02-16,17.875,27.25,7.41125,6.0875,334.625,63.4
04-02-16,16.25,21.71875,7.5940625,4.70625,339.25,51.3
05-02-16,16.46875,21.71875,7.8759375,5.1875,314.125,66.7
06-02-16,23,35.5,7.31,3.9,305.75,45.9
07-02-16,22.0625,32.125,8.186875,6.39375,328.4375,47.3
08-02-16,20.78125,43.1875,7.3853125,5.11875,333.4375,57
09-02-16,24.25,30.25,7.68125,3.5,309.25,47.3
10-02-16,20.0625,32.8125,7.689375,6.7125,305.875,60.7
11-02-16,16.375,27.90625,8.299375,3.76875,266.34375,30.9
12-02-16,17.77083334,23,7.611979167,5.6125,355.5208334,65.9
13-02-16,12.83333334,32.16666667,7.515208334,4.522916667,288.6458334,47.2
14-02-16,13.25,32.75,7.6778125,4.359375,296.96875,46.9
15-02-16,18.5,28,7.67375,5.3625,283.625,63
16-02-16,12.75,30.75,7.6696875,5.865625,312.28125,61.6
17-02-16,13.25,29.5,7.915625,6.36875,320.6875,62.2
18-02-16,13.75,28.25,8.1615625,6.871875,329.09375,48.7
19-02-16,12,23.5,7.1575,5.875,318.25,65.6
20-02-16,12.25,34.25,7.1534375,5.878125,330.40625,60.1
21-02-16,14,30.75,7.649375,6.13125,326.8125,61.6
22-02-16,15.75,27.25,8.1453125,6.384375,323.21875,49.1
23-02-16,18,27.25,7.64125,6.3875,310.375,63.4
24-02-16,20.25,27.25,7.1371875,6.390625,297.53125,63.4
25-02-16,19.8,28.4,7.133125,6.09375,297.9875,62.8
26-02-16,19.35,29.55,7.1290625,5.796875,298.44375,62.2
27-02-16,18.9,30.7,7.125,5.5,298.9,61.6
28-02-16,18.10625,31.35,7.1340625,5.184375,299.66875,61.3
29-02-16,17.3125,32,7.143125,4.86875,300.4375,72.8
01-03-16,16.58,20.2,7.1142,6.034,261.12,67.8
02-03-16,13.5,23.5,7.8975,5.35,313.5,65.6
03-03-16,16.53125,26.75,7.6703125,6.821875,351.34375,63.6
04-03-16,16.875,24.625,7.34375,4.475,335.875,49.9
05-03-16,14.4375,16.4375,7.636875,5.725,332.75,70.7
