Date,Temperature (°C),Turbidity (NTU),pH,Dissolved Oxygen (mg/l)
16-10-19,25.3,49.97,2.96,1.46
16-10-19,25.3,49.97,2.96,1.46
16-10-19,25.3,65.58,2.88,1.46
16-10-19,25.3,65.58,2.88,1.46
16-10-19,25.3,59.47,2.92,1.46
16-10-19,25.3,59.47,2.92,1.46
16-10-19,25.39,49.97,2.76,1.46
16-10-19,25.39,49.97,2.76,1.46
16-10-19,25.3,62.19,2.92,1.46
16-10-19,25.3,62.19,2.92,1.46
16-10-19,25.3,58.79,3.03,1.46
16-10-19,25.3,58.79,3.03,1.46
16-10-19,25.3,52,2.84,1.46
16-10-19,25.3,52,2.84,1.46
16-10-19,25.3,55.4,2.96,1.46
16-10-19,25.3,55.4,2.96,1.46
16-10-19,25.39,47.25,2.84,1.46
16-10-19,25.39,47.25,2.84,1.46
16-10-19,25.39,47.25,2.76,1.46
16-10-19,25.39,47.25,2.76,1.46
16-10-19,25.39,47.25,2.84,1.46
16-10-19,25.39,47.25,2.84,1.46
16-10-19,25.39,58.79,3.07,1.46
16-10-19,25.39,58.79,3.07,1.46
16-10-19,25.49,46.57,2.8,1.46
16-10-19,25.49,46.57,2.8,1.46
16-10-19,25.49,60.15,2.84,1.46
16-10-19,25.49,60.15,2.84,1.46
16-10-19,25.49,49.97,3.03,1.46
16-10-19,25.49,49.97,3.03,1.46
16-10-19,25.49,54.72,2.8,1.46
16-10-19,25.49,54.72,2.8,1.46
16-10-19,25.49,46.57,2.96,1.46
16-10-19,25.49,46.57,2.96,1.46
16-10-19,25.49,62.87,3.07,1.46
16-10-19,25.49,62.87,3.07,1.46
16-10-19,25.49,64.9,2.84,1.46
16-10-19,25.49,64.9,2.84,1.46
16-10-19,25.39,58.11,2.92,1.46
16-10-19,25.39,58.11,2.92,1.46
16-10-19,25.49,60.15,2.76,1.46
16-10-19,25.49,60.15,2.76,1.46
16-10-19,25.49,49.97,2.8,1.46
16-10-19,25.49,49.97,2.8,1.46
16-10-19,25.49,58.79,2.84,1.46
16-10-19,25.49,58.79,2.84,1.46
16-10-19,25.49,45.89,2.76,1.46
16-10-19,25.49,45.89,2.76,1.46
16-10-19,25.49,50.65,2.92,1.46
16-10-19,25.49,50.65,2.92,1.46
16-10-19,25.39,56.08,2.92,1.46
16-10-19,25.39,56.08,2.92,1.46
16-10-19,25.49,46.57,2.92,1.46
16-10-19,25.49,46.57,2.92,1.46
16-10-19,25.49,45.22,2.8,1.46
16-10-19,25.49,45.22,2.8,1.46
16-10-19,25.49,45.22,2.73,1.46
16-10-19,25.49,45.22,2.73,1.46
16-10-19,25.49,60.83,2.99,1.46
16-10-19,25.49,60.83,2.99,1.46
16-10-19,25.49,59.47,2.99,1.46
16-10-19,25.49,59.47,2.99,1.46
16-10-19,25.49,56.08,2.92,1.46
16-10-19,25.49,56.08,2.92,1.46
16-10-19,25.58,57.43,2.96,1.46
16-10-19,25.58,57.43,2.96,1.46
16-10-19,25.58,42.5,2.96,1.46
16-10-19,25.58,42.5,2.96,1.46
16-10-19,25.58,62.19,2.73,1.46
16-10-19,25.58,62.19,2.73,1.46
16-10-19,25.58,60.83,2.92,1.46
16-10-19,25.58,60.83,2.92,1.46
