Date,Temperature ©,Turbidity (mg/l),pH,Dissolved Oxygen (mg/l),Dissolved Solids (mg/l)
24-05-16,22,33,7.1,3.9,422
25-05-16,22,35,7.29,3.3,436
26-05-16,22,34,7.33,3.8,399
27-05-16,22,32,7.19,3.3,413
28-05-16,22,34,7.42,3.6,382
29-05-16,22,30,7.14,2.4,400
30-05-16,23,35,7.28,3.3,374
31-05-16,23,31,7.44,3.6,358
1/6/2016,22,3.6,7.19,3.7,378
2/6/2016,22,33,7.28,3.2,347
3/6/2016,23,35,7.13,3.7,346
4/6/2016,23,34,7.34,3.3,357
5/6/2016,23,30,7.18,2.4,375
6/6/2016,23,34,7.19,2.2,368
7/6/2016,23,33,7.78,3.8,392
8/6/2016,23,31,7.28,3.3,360
9/6/2016,22,30,7.69,3.6,374
10/6/2016,23,33,7.28,3.6,359
11/6/2016,23,31,7.63,3.6,367
12/6/2016,23,28,7.4,3.8,375
13-06-16,23,36,7.14,3.8,362
14-06-16,23,31,7.3,3.7,373
15-06-16,23,35,7.39,3.3,392
16-06-16,22,36,7.82,3.7,407
17-06-16,23,32,7.54,3.8,392
18-06-16,23,35,7.74,3.5,372
19-06-16,23,33,7.7,3.4,360
20-06-16,23,36,7.32,3.6,373
21-06-16,22,33,7.54,3.2,392
22-06-16,23,37,7.14,3.6,363
23-06-16,23,31,7.44,3.8,382
24-06-16,23,35,7.36,3.6,346
25-06-16,24,37,7.54,3.6,374
26-06-16,22,34,7.48,3.2,360
27-06-16,24,35,7.25,3.7,373
28-06-16,23,32,7.49,3.5,381
29-06-16,26,37,8.34,3.6,445
30-06-16,26,32,7.39,3.3,395
1/7/2016,26,39,7.75,3.8,373
2/7/2016,26,34,7.26,3.3,359
3/7/2016,26,37,7.49,3.6,377
4/7/2016,25,31,7.26,3.7,395
5/7/2016,25,33,7.67,3.3,357
6/7/2016,25,26,7.25,3.6,329
7/7/2016,25,31,7.38,3.2,337
8/7/2016,25,30,7.48,3.4,347
9/7/2016,25,34,7.24,3.7,318
10/7/2016,25,37,7.54,3.2,342
11/7/2016,25,34,7.25,2.7,312
12/7/2016,25,30,7.5,2.2,330
13-07-16,25,36,7.59,3.6,349
14-07-16,24,32,7.16,3.5,363
15-07-16,,,,,
16-07-16,,,,,
17-07-16,23,,,,
18-07-16,23,,,,
19-07-16,24,,,,
20-07-16,22,,,,
21-07-16,23,32,7.25,3.7,290
22-07-16,24,29,7.31,3.7,298
23-07-16,25,60,7.34,3.8,300
24-07-16,22,55,7.3,3.6,290
25-07-16,24,50,738,3.4,315
26-07-16,25,53,7.18,3.3,308
27-07-16,25,1200,7.29,3.4,306
28-07-16,25,325,7.21,3.7,315
29-07-16,26,135,7.3,3.6,307
30-07-16,27,81,7.39,3.8,374
31-07-16,25,60,7.3,3.6,360
1/8/2016,25,79,7.21,3.4,355
2/8/2016,26,75,7.78,3.8,438
3/8/2016,26,70,7.39,3.6,474
4/8/2016,26,53,7.44,3.4,457
5/8/2016,27,50,7.28,3.4,382
6/8/2016,26,75,7.78,3.8,438
7/8/2016,26,70,7.39,3.6,474
8/8/2016,26,53,7.44,3.4,457
9/8/2016,27,50,7.28,3.4,382
10/8/2016,26,75,7.78,3.8,438
11/8/2016,26,70,7.39,3.6,474
12/8/2016,26,53,7.44,3.4,457
13-08-16,27,50,7.28,3.4,382
14-08-16,26,75,7.78,3.8,438
15-08-16,26,29,7.32,3.6,382
16-08-16,26,31,7.48,3.2,381
17-08-16,26,27,7.23,3.8,398
18-08-16,25,28,7.68,3.8,382
19-08-16,25,30,7.78,3.3,421
20-08-16,25,30,7.3,3.4,374
21-08-16,25,28,7.41,3.5,391
22-08-16,25,33,7.39,3.4,324
23-08-16,26,27,7.48,3.7,396
24-08-16,26,29,7.84,3.2,397
25-08-16,26,27,7.23,3.4,374
26-08-16,26,33,7.74,3.7,382
27-08-16,25,89,7.39,3.6,396
28-08-16,25,86,7.8,3.7,381
29-08-16,25,80,7.32,3.6,392
30-08-16,25,79,7.41,3.4,364
31-08-16,25,72,7.31,3.4,360
1/9/2016,25,77,7.7,3.7,386
2/9/2016,25,73,7.33,3.5,365
3/9/2016,25,60,7.73,3.3,349
4/9/2016,26,51,7.45,3.7,382
5/9/2016,26,36,7.32,3.2,382
6/9/2016,26,33,7.38,3.8,166
7/9/2016,26,35,7.18,3.7,378
8/9/2016,26,33,7.49,3.7,364
9/9/2016,26,31,7.24,3.4,370
10/9/2016,26,29,7.3,3.3,370
11/9/2016,26,27,7.43,3.4,365
12/9/2016,26,25,7.3,3.6,356
13-09-16,25,26,7.4,3.7,350
14-09-16,25,24,7.31,3.4,370
15-09-16,26,25,7.22,3.5,365
16-09-16,26,23,7.3,3.7,366
17-09-16,25,20,7.34,3.4,372
18-09-16,26,24,7.3,3.6,365
19-09-16,26,22,7.44,3.2,357
20-09-16,26,21,7.48,3.7,342
21-09-16,25,23,7.27,3.5,319
22-09-16,25,27.1,7.35,3.7,342
23-09-16,24,24,7.8,3.4,357
24-09-16,24,20,7.14,3.7,370
25-09-16,24,22,7.18,3.3,363
26-09-16,24,21,7.48,3.8,392
27-09-16,24,19,7.43,3.3,362
28-09-16,24,24,7.42,3.7,349
29-09-16,24,21,7.19,3.3,357
30-09-16,24,19,7.37,3.6,335
1/10/2016,24,16,7.54,3.5,316
2/10/2016,24,19,7.35,3.6,340
3/10/2016,23,17,7.32,3.2,369
4/10/2016,23,19,7.48,3.3,382
5/10/2016,23,22,7.19,3.7,347
6/10/2016,23,20,7.33,3.8,317
7/10/2016,22,18,7.44,3.3,395
8/10/2016,22,29,7.35,3.4,362
9/10/2016,22,20,7.4,3.4,335
10/10/2016,21,18,7.32,3.3,324
11/10/2016,21,16,7.38,3.7,309
12/10/2016,21,19,7.43,3.4,322
13-10-16,21,15,7.19,3.6,336
14-10-16,21,18,7.49,3.2,317
15-10-16,21,18,7.36,3.7,335
16-10-16,21,20,7.3,3.4,325
17-10-16,21,19,7.38,3.7,362
18-10-16,21,17,7.3,3.2,378
19-10-16,21,14,7.84,3.7,363
20-10-16,20,17,7.75,3.6,346
21-10-16,20,19,7.38,3.1,366
22-10-16,20,14,7.34,3.4,346
23-10-16,20,16,7.42,3.5,336
24-10-16,20,13,7.84,3.9,339
25-10-16,20,18,7.29,3.3,322
26-10-16,20,17,7.14,3.7,374
27-10-16,20,16,7.57,3.7,374
28-10-16,20,19,7.44,3.7,357
29-10-16,20,17,7.23,3.1,320
30-10-16,20,15,7.2,3.4,315
31-10-16,20,18,7.45,3.7,314
1/11/2016,20,14,7.35,3.6,330
2/11/2016,20,16,7.45,3.6,307
3/11/2016,20,19,7.73,3.8,316
4/11/2016,20,14,7.14,3.4,327
5/11/2016,20,22,7.45,3.7,315
6/11/2016,19,17,7.64,3.6,302
7/11/2016,19,14,7.32,3.6,31
8/11/2016,19,17,7.15,3.3,330
9/11/2016,19,18,7.41,3.2,307
10/11/2016,18,20,7.51,3.6,370
11/11/2016,18,16,7.19,3.5,362
12/11/2016,18,19,7.32,3.7,372
13-11-16,18,18,7.16,3.4,350
15-11-16,18,14,7.57,3.7,316
16-11-16,17,16,7.19,3.4,309
17-11-16,17,19,7.45,3.6,322
18-11-16,17,20,7.57,3.3,357
19-11-16,17,22,7.21,3.8,366
20-11-16,17,20,7.18,3.4,360
21-11-16,17,23,7.33,3.5,370
22-11-16,17,25,7.37,3.6,380
23-11-16,17,22,7.54,3.3,347
24-11-16,17,20,7.15,3.4,362
25-11-16,17,18,7.44,3.7,366
26-11-16,17,27,7.24,3.3,382
27-11-16,17,21,7.21,3.4,375
28-11-16,17,23,7.45,3.7,365
29-11-16,17,25,7.7,3.6,424
30-11-16,17,20,7.14,3.4,357
1/12/2016,17,23,7.44,3.7,372
2/12/2016,17,19,7.54,3.9,347
3/12/2016,17,27,7.48,3.6,356
4/12/2016,17,21,7.4,3.4,365
5/12/2016,17,24,7.45,3.7,381
6/12/2016,17,28,7.74,3.6,362
7/12/2016,17,23,7.34,3.4,366
8/12/2016,17,24,7.34,3.6,357
9/12/2016,17,20,7.44,3.7,379
10/12/2016,17,28,7.24,3.4,397
11/12/2016,17,23,7.64,3.5,366
12/12/2016,17,20,7.19,3.8,355
13-12-16,16,24,7.45,3.2,346
14-12-16,16,27,7.48,3.7,342
15-12-16,16,20,7.4,3.4,320
16-12-16,16,18,7.38,3.2,327
17-12-16,16,20,7.37,3.6,330
18-12-16,16,23,7.3,3.6,334
19-12-16,16,17,7.46,3.4,345
20-12-16,16,15,7.7,3.3,340
21-12-16,16,16,7.48,3.6,350
22-12-16,16,14,7.4,3.3,345
23-12-16,16,14,7.35,3.3,350
24-12-16,16,18,7.45,3.6,355
25-12-16,16,15,7.44,3.3,370
26-12-16,16,17,7.33,3.4,365
27-12-16,16,15,7.31,3.4,370
28-12-16,16,18,7.45,2.3,377
29-12-16,16,22,7.3,3.8,342
30-12-16,13,20,7.35,3.3,321
31-12-16,13,23,7.3,3.2,357
1/1/2017,16,18,7.4,3.3,320
2/1/2017,14,22,7.14,3.4,309
3/1/2017,14,25,7.42,3.8,322
4/1/2017,14,23,7.22,3.3,357
5/1/2017,13,21,7.52,3.4,334
6/1/2017,13,22,7.29,3.7,364
7/1/2017,13,20,7.39,3.5,349
8/1/2017,13,18,7.2,3.6,328
9/1/2017,13,16,7.16,3.3,320
10/1/2017,13,17,7.2,3.4,393
11/1/2017,13,16,7.18,3.3,320
12/1/2017,13,19,7.25,3.8,354
13-01-17,13,24,7.37,3.5,366
14-01-17,13,27,7.29,3.2,335
15-01-17,13,22,7.3,3.6,325
16-01-17,13,24,7.18,3.2,347
17-01-17,12,27,7.39,3.7,329
18-01-17,12,23,7.49,3.3,392
19-01-17,13,20,7.32,3.6,312
20-01-17,13,24,7.25,3.3,335
21-01-17,13,27,7.18,3.6,312
22-01-17,13,23,7.14,3.3,309
23-01-17,13,27,7.39,3.4,342
24-01-17,13,32,7.7,3.7,342
25-01-17,13,38,7.41,3.2,394
26-01-17,13,45,7.22,3.7,362
27-01-17,136,34,7.41,3.2,366
28-01-17,12,30,7.29,3.4,373
29-01-17,12,28,7.34,3.4,370
30-01-17,13,24,7.37,3.2,368
31-01-17,13,22,7.14,3.4,372
1/2/2017,12,27,7.45,3.5,377
2/2/2017,12,23,7.39,3.7,359
3/2/2017,12,26,7.37,3.3,367
4/2/2017,12,29,7.26,3.5,369
5/2/2017,12,21,7.39,3.8,366
6/2/2017,12,29,7.63,3.9,382
7/2/2017,12,24,7.41,3.4,342
8/2/2017,12,20,7.35,3.7,362
9/2/2017,12,23,7.45,3.3,369
10/2/2017,12,26,7.18,3.8,357
11/2/2017,12,23,7.42,3.2,367
12/2/2017,12,27,7.59,3.5,377
13-02-17,12,22,7.25,3.2,358
14-02-17,12,27,7.33,3.4,373
15-02-17,14,27,7.82,3.8,396
16-02-17,14,24,7.42,3.6,319
17-02-17,15,22,7.14,3.7,412
18-02-17,15,26,7.26,3.5,362
19-02-17,15,20,7.41,3.4,410
20-02-17,15,25,7.39,3.8,396
21-02-17,15,21,7.39,3.7,347
22-02-17,15,23,7.48,3.4,332
23-02-17,15,28,7.22,3.6,335
24-02-17,15,22,7.23,3.4,342
25-02-17,15,29,7.33,3.8,307
26-02-17,15,20,7.16,3.4,315
27-02-17,15,23,7.44,3.3,361
28-02-17,15,24,7.19,3.4,348
1/3/2017,15,22,7.44,3.8,362
2/3/2017,15,27,7.48,3.3,331
3/3/2017,15,29,7.15,3.6,366
4/3/2017,15,24,7.23,3.3,346
5/3/2017,16,27,7.45,3.6,370
6/3/2017,16,22,7.45,3.6,347
7/3/2017,17,20,7.45,3.6,322
8/3/2017,15,28,7.32,3.2,361
9/3/2017,16,25,7.42,3.6,326
10/3/2017,16,28,7.27,3.4,320
11/3/2017,16,20,7.84,3.7,335
12/3/2017,17,23,7.28,3.4,360
13-03-17,17,26,7.42,3.3,346
14-03-17,17,22,7.14,3.8,324
15-03-17,17,28,7.37,3.4,317
16-03-17,17,22,7.49,3.7,346
17-03-17,17,21,7.4,3.3,320
20-03-17,17,25,7.39,3.6,316
21-03-17,18,27,7.45,3.2,342
22-03-17,18,23,7.39,3.4,325
23-03-17,18,21,7.31,3.3,323
24-03-17,18,23,7.34,3.3,315
25-03-17,18,21,7.3,3.4,335
26-03-17,18,25,7.37,3.8,311
27-03-17,18,27,7.15,3.4,369
28-03-17,18,27,7.45,3.8,346
29-03-17,18,20,7.7,3.7,340
30-03-17,18,27,7.45,3.5,346
31-03-17,20,25,7.14,3.7,267
1/4/2017,21,22,7.39,3.5,270
2/4/2017,21,26,7.41,3.7,246
3/4/2017,21,23,7.31,3.2,267
4/4/2017,21,27,7.43,3.8,296
5/4/2017,22,29,9.73,3.7,268
7/4/2017,22,21,7.27,3.8,249
8/4/2017,22,27,7.59,3.6,261
9/4/2017,22,29,7.19,3.7,282
10/4/2017,22,20,7.45,3.9,316
11/4/2017,22,23,7.84,3.3,373
12/4/2017,22,20,7.15,3.7,359
13-04-17,22,23,7.44,3.9,392
14-04-17,18,10,7.33,6.8,235
14-04-17,23,27,7.49,3.6,379
15-04-17,23,21,7.7,3.3,357
15-04-17,23,21,7.7,3.3,357
17-04-17,23,25,7.44,3.8,346
17-04-17,23,25,7.44,3.8,346
18-04-17,23,27,7.19,3.8,363
19-04-17,23,22,7.45,3.7,435
21-04-17,23,32,7.48,3.7,368
22-04-17,23,21,7.59,3.4,296
23-04-17,23,26,7.18,3.3,311
24-04-17,23,28,7.7,1.75,342
25-04-17,23,30,7.64,3.8,374
28-04-17,23,23,7.45,3.2,272
29-04-17,19,13,7.18,4.4,158
30-04-17,19,15,7.45,4.6,186
2/5/2017,20,25,7.39,3.8,216
2/5/2017,20,25,7.39,3.8,216
11/5/2017,21,18,7.31,3.7,266
12/5/2017,21,17,7.44,3.4,269
13-05-17,21,19,7.37,3.7,285
14-05-17,21,16,7.3,3.2,282
15-05-17,21,15,7.44,3.4,275
16-05-17,2,18,7.75,3.2,266
18-05-17,20,17,7.2,3.3,280
19-05-17,20,15,7.25,3.4,272
23-05-17,22,23,7.45,3.7,273
24-05-17,22,21,7.15,3.4,271
25-05-17,22,19,7.52,3.8,296
25-05-17,21,17,7.32,3.3,216
26-05-17,24,25,7.29,3.2,270
27-05-17,24,20,7.49,3.8,318
28-05-17,24,16,7.3,3.3,306
29-05-17,25,19,7.45,3.8,318
30-05-17,20,21,7.21,3.3,307
31-05-17,26,23,7.49,4.3,321
1/6/2017,26,20,7.15,4.4,326
2/6/2017,26,24,7.41,4.3,301
3/6/2017,26,26,7.22,4.8,320
5/6/2017,27,21,7.53,4.7,295
6/6/2017,27,21,7.53,4.2,248
7/6/2017,27,27,7.37,4.3,272
11/6/2017,26,18,7.37,3.9,317
12/6/2017,26,20,7.21,4.8,312
15-06-17,26,19,7.21,3.1,305
18-06-17,27,16,7.2,3.4,273
19-06-17,23,20,7.32,3.8,312
20-06-17,23,26,7.19,3.2,321
21-06-17,23,21,7.45,3.6,366
22-06-17,23,23,7.57,3.3,316
23-06-17,23,21,4.33,3.8,296
24-06-17,24,27,7.57,4.8,270
25-06-17,25,23,7.19,5.8,281
26-06-17,25,28,7.35,5.9,264
27-06-17,25,20,7.53,6.4,296
28-06-17,24,23,7.62,6.9,257
29-06-17,26,41,7.22,6.7,257
30-06-17,26,38,7.24,6.8,192
1/7/2017,26,30,7.59,5.9,214
2/7/2017,26,32,7.15,5.4,240
3/7/2017,27,29,7.37,5.8,219
4/7/2017,27,26,7.49,4.8,219
5/7/2017,27,22,7.15,4.3,266
6/7/2017,27,28,7.32,4.8,295
7/7/2017,27,20,7.21,4.7,266
8/7/2017,27,25,7.34,4.4,285
9/7/2017,27,29,7.15,3.8,264
10/7/2017,26,22,7.16,3.6,280
12/7/2017,23,78,7.28,3.1,263
13-07-17,22,306,7.26,3.9,292
14-07-17,26,312,7.18,3.7,267
15-07-17,28,170,7.18,1.7,146
16-07-17,30,95,7.45,1.8,166
17-07-17,28,65,7.35,1.3,285
18-07-17,28,58,7.29,1.5,246
19-07-17,28,47,7.18,1.7,240
21-07-17,27,35,7.55,1.8,227
22-07-17,27,29,7.15,1.6,196
23-07-17,26,26,7.45,1.4,187
25-07-17,26,29,7.32,2.6,216
26-07-17,26,25,7.51,2.1,172
27-07-17,26,27,7.22,2.3,196
28-07-17,26,21,7.14,2,324
29-07-17,26,25,7.37,1.7,317
30-07-17,26,540,7.27,2.1,208
31-07-17,27,295,7.2,2.4,212
1/8/2017,26,123,7.16,2.7,199
2/8/2017,27,120,7.24,2.2,206
4/8/2017,28,67,7.23,2.1,208
6/8/2017,28,37,7.22,1.7,198
7/8/2017,28,28,7.18,1.7,201
7/8/2017,28,28,7.18,1.7,201
8/8/2017,28,18,7.23,1.3,184
9/8/2017,26,16,7.2,1.4,187
10/8/2017,28,650,7.18,1.9,196
11/8/2017,28,122,7.11,1.8,206
12/8/2017,28,85,7.2,1.9,208
13-08-17,28,60,7.14,1.6,203
14-08-17,28,30,7.3,2.3,195
15-08-17,28,19,7.16,1.9,185
16-08-17,28,17,7.27,1.7,196
17-08-17,28,15,7.18,1.1,193
18-08-17,28,18,7.39,1.3,214
19-08-17,28,16,7.15,1.6,196
20-08-17,28,14,7.11,1.9,187
21-08-17,28,18,7.29,1.7,209
22-08-17,28,15,7.45,2.2,224
23-08-17,28,17,7.19,2.5,199
26-08-17,28,27,7.62,3.9,185
27-08-17,28,33,7.18,3.1,199
28-08-17,28,38,7.42,3.3,191
29-08-17,28,31,7.19,3.8,172
31-08-17,28,22,7.45,3.3,214
1/9/2017,28,20,7.2,3.2,208
2/9/2017,28,18,7.16,3.4,210
3/9/2017,28,17,7.12,3.7,200
4/9/2017,26,18,7.18,3.4,216
5/9/2017,26,15,7.16,3.9,210
7/9/2017,26,12,7.4,3.9,208
8/9/2017,26,17,7.51,3.9,215
9/9/2017,26,16,7.34,3.4,206
11/9/2017,25,39,7.7,3.2,224
14-09-17,25,25,7.39,3.7,181
16-09-17,23,15,7.23,3.1,204
18-09-17,22,16,7.39,3,199
19-09-17,22,12,7.25,3.6,210
20-09-17,24,15,7.29,3.2,196
22-09-17,27,18,7.18,3.8,199
24-09-17,27,8,7.11,3.6,155
25-09-17,25,15,7.31,3.2,178
26-09-17,23,11,7.39,3.1,192
27-09-17,23,10,7.13,3.7,164
28-09-17,23,15,7.31,3.1,170
1/10/2017,22,16,7.2,3.2,176
2/10/2017,22,18,7.42,3.5,159
3/10/2017,22,18,7.52,3,196
4/10/2017,22,15,7.22,3.2,181
5/10/2017,22,12,7.41,3.1,211
7/10/2017,22,17,7.41,3.4,175
9/10/2017,22,15,7.18,3.1,170
10/10/2017,22,13,7.45,2.8,185
11/10/2017,22,12,7.48,3.5,186
12/10/2017,22,9,7.3,3.6,204
13-10-17,23,14,7.52,3.2,178
14-10-17,23,11,7.34,3.6,192
16-10-17,22,10,7.29,3.3,170
18-10-17,22,13,7.47,3.3,195
19-10-17,23,15,7.14,3.7,172
20-10-17,23,12,7.59,3.2,216
21-10-17,23,17,7.28,3.3,199
23-10-17,23,10,7.39,3.5,180
25-10-17,23,11,7.36,3.1,195
27-10-17,23,13,7.32,3.2,162
28-10-17,23,15,7.45,3.8,192
30-10-17,23,17,7.22,3.4,164
31-10-17,22,12,7.42,3.7,216
1/11/2017,22,13,7.14,3.2,198
3/11/2017,20,18,7.29,3.2,173
4/11/2017,20,15,7.1,3.4,181
5/11/2017,20,11,7.1,3.6,185
6/11/2017,22,13,7.23,3,198
7/11/2017,21,15,7.52,3.3,169
8/11/2017,21,13,7.39,3.2,192
9/11/2017,21,18,7.19,3.5,211
10/11/2017,21,19,7.14,3.2,173
11/11/2017,21,16,7.11,3.3,201
12/11/2017,21,14,7.16,3.2,208
13-11-17,20,14,7.12,3.3,206
15-11-17,18,21,7.2,3.4,195
16-11-17,18,19,7.18,3.6,208
17-11-17,22,22,7.25,3.2,204
18-11-17,22,20,7.2,3.4,201
19-11-17,22,18,7.16,3.3,195
20-11-17,21,15,7.8,3.1,186
22-11-17,20,13,7.24,3.1,207
23-11-17,20,19,7.49,3.5,224
24-11-17,20,16,7.54,3.5,13
28-11-17,20,12,7.63,3.5,221
29-11-17,19,15,7.69,3.2,182
30-11-17,19,20,7.35,3,199
2/12/2017,20,17,7.25,3.1,196
3/12/2017,20,13,7.45,3.4,174
5/12/2017,20,18,7.59,3.1,216
6/12/2017,18,14,7.15,3.2,180
7/12/2017,16,19,7.41,3.1,157
8/12/2017,13,16,7.45,3.5,181
9/12/2017,13,22,7.54,3.5,196
9/12/2017,13,22,7.54,3.5,196
10/12/2017,13,18,7.5,3.3,208
11/12/2017,15,23,7.19,3.2,235
12/12/2017,15,22,7.41,3.1,199
13-12-17,15,27,7.33,3.5,230
14-12-17,14,81,7.62,3.2,274
15-12-17,15,67,7.3,3.3,223
16-12-17,15,35,7.25,3.2,220
17-12-17,15,18,7.2,3.4,217
18-12-17,14,20,7.92,3.2,235
19-12-17,14,25,7.53,3.2,206
20-12-17,13,27.9,7.42,3.3,196
21-12-17,13,22,7.33,3.2,214
22-12-17,14,29,7.52,3.2,246
23-12-17,14,22,7.14,3.2,172
24-12-17,14,20,7.38,3.2,13
25-12-17,16,20,7.12,3.1,175
26-12-17,16,18,7.23,3.2,160
26-12-17,20,13,7.59,3.3,176
27-12-17,14,29,7.18,3.1,185
28-12-17,14,22,7.64,3.3,195
29-12-17,16,16,7.2,3.1,170
30-12-17,15,18,7.49,3.2,184
31-12-17,15,16,7.4,3.4,175
31-12-17,15,16,7.4,3.4,175
31-12-17,15,16,7.4,3.4,175
31-12-17,15,16,7.4,3.4,175
31-12-17,15,16,7.4,3.4,175
1/1/2018,15,19,7.49,3.3,252
2/1/2018,15,23,7.64,3.6,198
3/1/2018,15,25,7.4,3.2,223
4/1/2018,15,19,7.53,3.3,236
5/1/2018,15,22,7.23,3.2,211
6/1/2018,14,16,7.2,2.9,210
7/1/2018,14,18,7.95,2.4,201
8/1/2018,14,20,7.73,2.2,174
9/1/2018,14,23,7.64,2.5,195
10/1/2018,15,25,7.39,2.3,205
11/1/2018,14,18,7.7,2.4,175
12/1/2018,15,27,7.33,2.5,170
13-01-18,15,30,7.64,2.4,182
14-01-18,15,18,7.6,2.2,175
15-01-18,15,18,7.5,2.3,174
16-01-18,14,22,7.73,2.1,196
17-01-18,14,20,7.4,2.2,300
18-01-18,13,24,7.71,2.8,170
19-01-18,13,21,7.15,3.4,196
20-01-18,14,23,7.45,2.4,262
21-01-18,14,18,7.4,2.6,306
22-01-18,14,23,7.74,2.3,364
23-01-18,15,20,7.36,2.3,323
24-01-18,15,24,7.17,2.1,218
25-01-18,14,26,7.14,2.4,209
26-01-18,14,21,7.37,2.2,186
27-01-18,12,23,7.98,2.5,164
28-01-18,14,18,7.3,3.5,194
29-01-18,14,21,7.95,2.3,180
30-01-18,14,23,7.92,2.4,192
31-01-18,13,22,7.64,2.2,196
1/2/2018,13,25,7.92,2.4,196
2/2/2018,14,19,7.82,2.6,218
3/2/2018,14,29,7.95,2.3,241
4/2/2018,14,27,7.9,2.4,240
5/2/2018,14,24,7.96,2.6,245
6/2/2018,14,26,7.19,2.3,236
7/2/2018,13,20,8.23,6.7,213
8/2/2018,13,15,8.41,6.6,199
9/2/2018,13,18,8.32,6,284
10/2/2018,13,22,8.54,6.2,218
11/2/2018,13,12,8.1,6.7,240
12/2/2018,13,14,8.2,6.2,235
13-02-18,13,15,8.37,6.7,211
14-02-18,12,19,8.21,6.4,240
14-02-18,12,15,7.45,5.9,210
15-02-18,12,16,8.43,6.2,216
15-02-18,12,11,7.63,5.8,230
16-02-18,12,12,8.51,6.4,227
17-02-18,13,19,8.57,6.2,216
18-02-18,13,16,8.48,5.9,215
19-02-18,13,16,8.44,6.2,250
20-02-18,13,18,8.45,6.7,299
21-02-18,13,19,8.15,5.9,235
22-02-18,15,17,8.31,6.3,219
23-02-18,15,16,8.2,6.4,220
24-02-18,15,20,8.37,6.4,236
25-02-18,15,23,8.69,6.6,228
26-02-18,15,18,8.35,6.1,234
27-02-18,15,16,8.3,6.4,230
28-02-18,15,17,8.28,6.3,234
1/3/2018,15,11,8.3,5.9,270
2/3/2018,15,18,8.22,6.6,262
3/3/2018,15,20,8.54,6.6,246
4/3/2018,15,22,8.29,6.5,220
5/3/2018,15,12,8.34,6.2,235
6/3/2018,14,12,7.98,6.8,214
7/3/2018,14,10,7.92,6,196
8/3/2018,14,13,7.98,6.8,210
9/3/2018,14,15,7.84,6.5,224
10/3/2018,14,18,7.49,6.3,245
11/3/2018,14,22,7.19,6.8,214
12/3/2018,14,12,7.82,6.6,219
13-03-18,15,16,7.63,6.3,214
14-03-18,14,18,7.32,6.2,240
15-03-18,14,15,7.64,6.7,219
16-03-18,14,14,7.6,6.3,215
17-03-18,14,18,7.56,6.3,217
18-03-18,14,20,7.49,6.7,213
19-03-18,14,13,7.19,6.4,198
20-03-18,14,16,7.45,6.7,230
21-03-18,14,14,7.23,6.3,246
22-03-18,15,17,7.54,6.8,214
23-03-18,15,22,7.45,6.3,231
24-03-18,15,23,7.24,6.7,246
25-03-18,16,18,7.54,6.2,280
26-03-18,16,14,7.5,6.1,273
27-03-18,16,12,7.41,5.9,274
28-03-18,16,10,7.38,6.3,275
29-03-18,16,13,7.65,6.7,249
30-03-18,16,17,7.49,6.3,230
31-03-18,16,20,7.14,6.1,224
1/4/2018,14,19,7.59,6.8,249
2/4/2018,15,25,7.41,6.4,231
3/4/2018,16,21,7.19,6.5,246
4/4/2018,20,17,7.49,6.2,234
5/4/2018,20,19,7.64,6.8,246
6/4/2018,19,16,7.39,6.2,231
7/4/2018,18,15,7.64,6.7,246
8/4/2018,18,17,7.19,6.3,234
9/4/2018,18,21,7.3,6.8,214
10/4/2018,18,15,7.73,6.5,224
11/4/2018,18,16,7.19,6.2,245
12/4/2018,18,12,7.45,6.7,246
13-04-18,18,14,7.19,6.1,280
15-04-18,18,13,7.19,6.3,310
16-04-18,18,15,7.49,6.5,245
17-04-18,18,10,7.14,6.1,218
18-04-18,19,17,7.32,6.3,231
19-04-18,19,15,7.44,6.7,224
20-04-18,20,13,7.51,6.4,249
21-04-18,20,60,7.23,6.3,217
22-04-18,20,40,7.2,6.4,215
23-04-18,16,30,7.81,2.1,243
24-04-18,16,25,7.47,2.6,238
25-04-18,16,21,7.7,2.5,240
26-04-18,16,18,7.68,2.3,243
27-04-18,16,14,7.6,2.6,240
28-04-18,16,15,7.5,2.6,245
29-04-18,16,12,7.51,2.9,244
30-04-18,21,13,7.23,6.8,460
1/5/2018,21,11,7.2,6.7,450
2/5/2018,21,15,7.45,6.2,384
3/5/2018,21,13,7.24,6.8,335
4/5/2018,21,16,7.84,5.8,296
5/5/2018,21,20,7.29,36.3,262
6/5/2018,21,19,7.64,6.7,284
7/5/2018,21,18,7.64,6.8,340
8/5/2018,22,14,7.33,3.6,297
9/5/2018,22,19,7.7,6.8,270
10/5/2018,22,14,7.49,6.3,297
11/5/2018,22,20,7.84,6.2,392
12/5/2018,22,23,7.51,6.4,335
13-05-18,22,21,7.4,6.9,325
14-05-18,22,15,7.24,6.4,316
14-05-18,25,12,7.45,6.1,249
15-05-18,22,11,7.49,6.7,266
16-05-18,22,13,7.14,6.3,273
17-05-18,22,15,7.51,6.8,298
18-05-18,23,20,7.29,6.3,260
19-05-18,23,25,7.6,6.7,285
20-05-18,22,16,7.55,6.9,280
21-05-18,22,12,7.23,6.5,266
22-05-18,21,10,7.35,6.3,280
23-05-18,21,13,7.49,6.5,296
24-05-18,22,15,7.33,6.3,265
25-05-18,22,14,7.23,6.8,285
26-05-18,22,10,7.43,6.3,266
27-05-18,22,10,7.2,6.7,280
28-05-18,22,13,7.49,6.3,296
