Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Apr,20.55667168,22.96205117,7.625409358,5.554063733,272.0773118,61.05333333
May,20.1093078,22.13562948,7.783640233,5.80625,285.1849014,60.16129032
Jun,21.59871843,24.98206439,7.551236111,6.012515783,284.674577,59.80666667
Jul,22.33258289,46.15651882,7.498501344,4.740188172,250.0462814,50.27741935
Aug,22.25263217,37.49395161,7.504833669,4.420743728,239.9512321,49.18709677
Sep,21.11650764,22.16384259,7.569966898,5.417506944,244.1213426,58.9
