Date,Temperature,Turbidity,pH,Dissolved Oxygen,Dissolved Solids,WQI
Apr,16.41875,26.35,7.207520833,2.613333333,338.8166667,47.80666667
May,20.87802419,23.61693548,7.342096774,2.848387097,353.9395161,49.19032258
Jun,23.97083333,30.15416667,7.411854167,3.383541667,339.94375,47.33666667
Jul,22.51310484,35.89919355,7.215201613,3.17016129,328.5725806,45.69677419
Aug,23.01612903,25.49193548,7.346229839,2.994758065,373.9939516,48.58387097
Sep,23.52395833,26.60416667,7.223479167,3.253541667,354.3104167,48.39666667
